season,grand_prix,date,winner,team,laps,time,url
2024,Bahrain,02 Mar 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:31:44.742,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
2024,Saudi Arabia,09 Mar 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,50,1:20:43.273,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2024,Australia,24 Mar 2024,Carlos SainzSAI,Ferrari,58,1:20:26.843,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
2024,Japan,07 Apr 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,53,1:54:23.566,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
2024,China,21 Apr 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,56,1:40:52.554,https://www.formula1.com/en/results/2024/races/1233/china/race-result
2024,Miami,05 May 2024,Lando NorrisNOR,McLaren Mercedes,57,1:30:49.876,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
2024,Emilia-Romagna,19 May 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,63,1:25:25.252,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
2024,Monaco,26 May 2024,Charles LeclercLEC,Ferrari,78,2:23:15.554,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
2024,Canada,09 Jun 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,70,1:45:47.927,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
2024,Spain,23 Jun 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,66,1:28:20.227,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
2024,Austria,30 Jun 2024,George RussellRUS,Mercedes,71,1:24:22.798,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
2024,Great Britain,07 Jul 2024,Lewis HamiltonHAM,Mercedes,52,1:22:27.059,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
2024,Hungary,21 Jul 2024,Oscar PiastriPIA,McLaren Mercedes,70,1:38:01.989,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
2024,Belgium,28 Jul 2024,Lewis HamiltonHAM,Mercedes,44,1:19:57.566,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
2024,Netherlands,25 Aug 2024,Lando NorrisNOR,McLaren Mercedes,72,1:30:45.519,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
2024,Italy,01 Sep 2024,Charles LeclercLEC,Ferrari,53,1:14:40.727,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
2024,Azerbaijan,15 Sep 2024,Oscar PiastriPIA,McLaren Mercedes,51,1:32:58.007,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
2024,Singapore,22 Sep 2024,Lando NorrisNOR,McLaren Mercedes,62,1:40:52.571,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
2024,United States,20 Oct 2024,Charles LeclercLEC,Ferrari,56,1:35:09.639,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
2024,Mexico,27 Oct 2024,Carlos SainzSAI,Ferrari,71,1:40:55.800,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
2024,Brazil,03 Nov 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,69,2:06:54.430,https://www.formula1.com/en/results/2024/races/1249/brazil/race-result
2024,Las Vegas,23 Nov 2024,George RussellRUS,Mercedes,50,1:22:05.969,https://www.formula1.com/en/results/2024/races/1250/las-vegas/race-result
2024,Qatar,01 Dec 2024,Max VerstappenVER,Red Bull Racing Honda RBPT,57,1:31:05.323,https://www.formula1.com/en/results/2024/races/1251/qatar/race-result
2024,Abu Dhabi,08 Dec 2024,Lando NorrisNOR,McLaren Mercedes,58,1:26:33.291,https://www.formula1.com/en/results/2024/races/1252/abu-dhabi/race-result
